doc_id,latency_sec,words_original,words_summary,compression_ratio,length_deviation_pct,rouge1_f,rouge2_f,rougeL_f,bertscore_precision,bertscore_recall,bertscore_f1,reading_ease,smog_index,avg_sentence_length,entity_jaccard,entities_src,entities_sum
026,2.3971080800984055,303,73,0.24092409240924093,19.69196919691969,0.3238095238095238,0.1553398058252427,0.26666666666666666,0.24704039096832275,0.41665977239608765,0.329031378030777,13.31672945205483,16.827784334635936,18.25,0.0,2,0
027,2.664016582071781,264,79,0.29924242424242425,0.25252525252524494,0.3119266055045871,0.09345794392523366,0.22018348623853212,0.21625010669231415,0.39732545614242554,0.30343639850616455,0.4545727848101535,19.53771442962202,19.75,1.0,0,0
028,2.966649203095585,302,84,0.2781456953642384,7.284768211920534,0.33898305084745767,0.20689655172413793,0.30508474576271183,0.20487436652183533,0.3967709243297577,0.2969447076320648,11.284285714285744,19.032712561301913,21.0,0.0,2,0
029,3.0191257561091334,266,61,0.22932330827067668,23.558897243107772,0.34782608695652173,0.2,0.2826086956521739,0.2543046772480011,0.36202049255371094,0.307537704706192,5.901584699453565,18.599290044081553,20.333333333333332,0.0,1,0
030,3.9966776398941875,332,87,0.2620481927710843,12.650602409638555,0.31666666666666665,0.20338983050847456,0.26666666666666666,0.23214785754680634,0.5089778900146484,0.36180344223976135,-3.8895258620689503,19.78447435784618,21.75,1.0,2,2
031,2.170753513928503,280,76,0.2714285714285714,9.523809523809527,0.23636363636363633,0.05555555555555555,0.18181818181818182,0.20409122109413147,0.35900524258613586,0.27931907773017883,9.4447368421053,18.511140095513987,19.0,0.3333333333333333,2,2
032,2.9468686101026833,300,84,0.28,6.666666666666654,0.3275862068965517,0.1929824561403509,0.2931034482758621,0.29630735516548157,0.5464490056037903,0.4144996106624603,5.475857142857194,17.353723509956247,16.8,1.0,2,2
033,2.211228681029752,271,68,0.25092250922509224,16.359163591635916,0.3673469387755102,0.20833333333333331,0.30612244897959184,0.27320781350135803,0.4140072166919708,0.34192579984664917,14.15941176470588,17.122413403193683,17.0,0.0,0,2
034,2.3794135190546513,301,83,0.2757475083056478,8.084163898117392,0.2711864406779661,0.10344827586206896,0.22033898305084743,0.23789486289024353,0.40687096118927,0.31958624720573425,-11.830867469879479,18.669449996058646,16.6,0.5,1,2
035,2.326638156082481,304,88,0.2894736842105263,3.508771929824554,0.2857142857142857,0.11965811965811966,0.2184873949579832,0.2327786535024643,0.4405406415462494,0.3320194482803345,2.4664545454545532,18.458006810337128,17.6,0.5,1,2
036,2.3438701019622386,303,90,0.297029702970297,0.990099009900991,0.3577235772357724,0.16528925619834708,0.2764227642276423,0.2736218273639679,0.524026095867157,0.3918732702732086,4.325000000000017,18.669449996058646,18.0,0.5,2,1
037,2.1036292749922723,264,61,0.23106060606060605,22.97979797979798,0.37777777777777777,0.22727272727272724,0.3111111111111111,0.2585878074169159,0.42107704281806946,0.33731839060783386,5.901584699453565,18.599290044081553,20.333333333333332,1.0,0,0
038,2.447166084079072,303,90,0.297029702970297,0.990099009900991,0.2903225806451613,0.11475409836065575,0.22580645161290325,0.22699159383773804,0.4116518497467041,0.31581389904022217,2.577500000000015,19.53771442962202,22.5,0.0,2,0
039,3.0134809541050345,271,65,0.23985239852398524,20.049200492004918,0.37894736842105264,0.1935483870967742,0.2947368421052632,0.34554383158683777,0.5181173086166382,0.42894119024276733,18.246410256410257,18.243605946275583,21.666666666666668,0.0,1,1
040,2.864691938040778,332,82,0.2469879518072289,17.670682730923694,0.27826086956521734,0.08849557522123894,0.19130434782608696,0.18639720976352692,0.34402188658714294,0.26286250352859497,1.3518902439024316,19.53771442962202,20.5,0.0,2,0
041,2.6901694380212575,274,80,0.291970802919708,2.6763990267639945,0.28318584070796465,0.10810810810810811,0.21238938053097342,0.24091845750808716,0.42177730798721313,0.32802844047546387,-1.6999999999999602,19.032712561301913,20.0,0.3333333333333333,2,2
042,1.8133639118168503,302,82,0.271523178807947,9.492273730684325,0.31034482758620685,0.12280701754385964,0.22413793103448276,0.2584060728549957,0.4549570381641388,0.3526400923728943,4.447012195121943,19.53771442962202,20.5,1.0,2,2
043,2.0797471911646426,273,74,0.27106227106227104,9.645909645909649,0.34615384615384615,0.17647058823529413,0.28846153846153844,0.24457910656929016,0.4157100319862366,0.32725924253463745,17.714256756756754,17.693802365651003,18.5,0.0,0,2
044,2.0455419030040503,303,82,0.2706270627062706,9.790979097909789,0.36521739130434777,0.17699115044247787,0.29565217391304344,0.2903969883918762,0.5471458435058594,0.4114792048931122,7.57680487804879,18.026119701940384,16.4,0.5,2,1
045,2.208301591919735,304,83,0.2730263157894737,8.991228070175438,0.2956521739130435,0.10619469026548672,0.24347826086956517,0.24395743012428284,0.4173237681388855,0.32765787839889526,13.401395582329343,16.52667757954773,13.833333333333334,0.5,1,2
046,2.7185311031062156,302,87,0.28807947019867547,3.97350993377484,0.30000000000000004,0.10169491525423728,0.2,0.2547667622566223,0.4673900902271271,0.3562188446521759,-1.944698275862038,20.027631371098494,21.75,0.5,2,1
047,3.005795317934826,266,65,0.24436090225563908,18.546365914786968,0.31250000000000006,0.19148936170212766,0.29166666666666663,0.25172197818756104,0.41240981221199036,0.32962217926979065,4.221249999999998,17.693802365651003,16.25,0.0,0,1
048,3.327588980086148,304,89,0.29276315789473684,2.4122807017543844,0.31666666666666665,0.1694915254237288,0.25,0.2649278938770294,0.4782174229621887,0.3666941821575165,11.012943820224734,17.122413403193683,17.8,1.0,2,2
049,2.4183422471396625,272,80,0.29411764705882354,1.9607843137254832,0.3063063063063063,0.11009174311926606,0.2342342342342342,0.2245645672082901,0.3807852268218994,0.30040091276168823,7.647500000000008,17.58133193835471,16.0,0.0,1,0
050,3.0843392310198396,333,81,0.24324324324324326,18.918918918918912,0.2982456140350877,0.14285714285714285,0.24561403508771928,0.24726687371730804,0.476695716381073,0.3561939001083374,-0.6743055555555486,19.78447435784618,20.25,1.0,2,2
